geometry,NAME,STATEFP,COUNTYFP,GEOID,vulnerability_score,hurricane_risk,social_vulnerability,economic_vulnerability,gdp,gdp_per_capita,population,risk_category,storm_count,avg_wind_speed,max_wind_speed,median_home_value,property_growth_rate,rural_status,fema_risk_zone,population_density,property_exposure,rural_factor,fema_risk_factor,enhanced_vulnerability,enhanced_risk_category,gdp_fema_correlation,critical_rural
"POLYGON ((-82.5748 29.4016, -82.0748 29.4016, -82.0748 29.9016, -82.5748 29.9016, -82.5748 29.4016))",Alachua,12,000,12000,0.6226310448330965,0.2924685844508058,0.6878635180605657,0.9976151854486814,709,1494.2422147662323,474488,High,17,42.88235294117647,65.0,280000,2.9,urban,moderate,474,0.17391304347826086,0.2,0.5,0.47499549551020304,Moderate,0.3545,False
"POLYGON ((-82.5373 30.0819, -82.0373 30.0819, -82.0373 30.5819, -82.5373 30.5819, -82.5373 30.0819))",Baker,12,001,12001,0.5420842603683693,0.12181082366814744,0.6498567085227887,0.9946763944809124,2098,2941.7043376818583,713192,Moderate,9,44.0,65.0,300000,3.5,suburban,moderate,200,0.2028985507246377,0.4,0.5,0.45993903666270464,Moderate,1.049,False
"POLYGON ((-85.9102 29.9088, -85.4102 29.9088, -85.4102 30.4088, -85.9102 30.4088, -85.9102 29.9088))",Bay,12,002,12002,0.6200660125369395,0.5564098902929488,0.3270424085906409,0.9979644461418925,2485,1322.2185390469492,1879417,High,22,55.310344827586206,140.0,290000,3.5,suburban,high,198,0.18840579710144928,0.4,0.75,0.5017850029400338,Moderate,1.86375,False
"POLYGON ((-82.4229 29.6967, -81.9229 29.6967, -81.9229 30.1967, -82.4229 30.1967, -82.4229 29.6967))",Bradford,12,003,12003,0.5380432564727036,0.2092154410010045,0.5168852319289345,0.9976383683120712,3260,1482.823805962953,2198508,Moderate,13,44.15384615384615,65.0,300000,3.5,suburban,moderate,200,0.2028985507246377,0.4,0.5,0.4557882904433798,Moderate,1.63,False
"POLYGON ((-80.9714 28.0139, -80.4714 28.0139, -80.4714 28.5139, -80.9714 28.5139, -80.9714 28.0139))",Brevard,12,004,12004,0.575964071494907,0.412610355265484,0.6962119097536672,0.6735211882087107,33861,161122.3989683903,210157,Moderate,20,48.11538461538461,90.0,360000,4.2,suburban,high,376,0.2898550724637681,0.4,0.75,0.49507022290160024,Moderate,25.39575,False
"POLYGON ((-80.3873 25.8724, -79.8873 25.8724, -79.8873 26.3724, -80.3873 26.3724, -80.3873 25.8724))",Broward,12,005,12005,0.6434390846803761,0.5640589760598202,0.6754433033256027,0.7172750108625576,123611,139572.0397496508,885643,High,24,56.63333333333333,115.0,457884,8.4,urban,high,1444,0.4317159420289855,0.2,0.75,0.5359015952583843,Moderate,92.70825,False
"POLYGON ((-85.4494 30.1302, -84.9494 30.1302, -84.9494 30.6302, -85.4494 30.6302, -85.4494 30.1302))",Calhoun,12,006,12006,0.6884547057567572,0.4587733933116174,0.6916393212379282,0.991511840202439,4895,4500.363154943045,1087690,High,18,54.36842105263158,135.0,300000,3.5,suburban,moderate,200,0.2028985507246377,0.4,0.5,0.5519032907609054,Moderate,2.4475,False
"POLYGON ((-82.2173 26.6437, -81.7173 26.6437, -81.7173 27.1437, -82.2173 27.1437, -82.2173 26.6437))",Charlotte,12,007,12007,0.6675281116011085,0.4802880861926873,0.6086963211813852,0.97601326923206,4753,12133.976666411376,391710,High,18,64.48,130.0,410000,5.8,suburban,high,234,0.36231884057971014,0.4,0.75,0.569477707746803,Moderate,3.56475,False
"POLYGON ((-82.7343 28.6394, -82.2343 28.6394, -82.2343 29.1394, -82.7343 29.1394, -82.7343 28.6394))",Citrus,12,008,12008,0.6519620557585347,0.41016951249116723,0.6285628334276605,0.9977513357792324,2319,1427.183193333165,1624879,High,21,42.53846153846154,85.0,245000,2.7,rural,moderate,189,0.12318840579710146,1.0,0.5,0.6024428931235907,High,1.1595,False
"POLYGON ((-81.979 29.7266, -81.479 29.7266, -81.479 30.2266, -81.979 30.2266, -81.979 29.7266))",Clay,12,009,12009,0.6497965611380008,0.39938311657855774,0.6344377138483985,0.999040001173527,1176,792.4683164293642,1483971,High,21,41.56,80.0,335000,4.6,suburban,moderate,467,0.2536231884057971,0.4,0.5,0.5372659598301839,Moderate,0.588,False
"POLYGON ((-81.9706 25.892, -81.4706 25.892, -81.4706 26.392, -81.9706 26.392, -81.9706 25.892))",Collier,12,010,12010,0.7514082903139517,0.6612928233063311,0.667168341234859,0.9558021954032052,35409,22088.67033178856,1603039,High,26,63.1,137.0,850000,6.2,suburban,high,242,1.0,0.4,0.75,0.7499173131541956,High,26.55675,False
"POLYGON ((-82.8901 29.941, -82.3901 29.941, -82.3901 30.441, -82.8901 30.441, -82.8901 29.941))",Columbia,12,011,12011,0.5174945515782184,0.18193112759385446,0.5011083888537893,0.9812986129484664,3635,9530.751421746894,381397,Moderate,12,42.25,65.0,300000,3.5,suburban,moderate,200,0.2028985507246377,0.4,0.5,0.44254389240384234,Moderate,1.8175,False
"POLYGON ((-82.0592 26.912, -81.5592 26.912, -81.5592 27.412, -82.0592 27.412, -82.0592 26.912))",DeSoto,12,012,12012,0.5800082226604308,0.37657323976890306,0.4377035440481625,0.9935595451280694,3445,3491.7935250289124,986599,Moderate,17,52.68421052631579,100.0,215000,1.8,rural,low,42,0.07971014492753623,1.0,0.25,0.5463379567629794,Moderate,0.86125,False
"POLYGON ((-83.3424 29.3466, -82.8424 29.3466, -82.8424 29.8466, -83.3424 29.8466, -83.3424 29.3466))",Dixie,12,013,12013,0.634077353712543,0.4241861343946612,0.5512788227735801,0.9967308437420151,4201,1929.812875678432,2176895,High,20,46.64,100.0,180000,1.2,rural,moderate,18,0.028985507246376812,1.0,0.5,0.5714455683510598,Moderate,2.1005,False
"POLYGON ((-81.9057 30.0822, -81.4057 30.0822, -81.4057 30.5822, -81.9057 30.5822, -81.9057 30.0822))",Duval,12,014,12014,0.6041635441301971,0.38665573177350304,0.6911548918934409,0.8071826128425457,79027,95289.2548032286,829338,High,21,42.64,70.0,315000,4.9,urban,moderate,1155,0.2246376811594203,0.2,0.5,0.4712589701224572,Moderate,39.5135,False
"POLYGON ((-87.4669 30.3801, -86.9669 30.3801, -86.9669 30.8801, -87.4669 30.8801, -87.4669 30.3801))",Escambia,12,015,12015,0.5805826518803752,0.39154641147043,0.4588714757196637,0.9543421485876803,26084,22807.79683188125,1143644,Moderate,18,47.63636363636363,105.0,265000,3.7,urban,high,478,0.15217391304347827,0.2,0.75,0.44096411033777194,Moderate,19.563,False
"POLYGON ((-81.5028 29.2177, -81.0028 29.2177, -81.0028 29.7177, -81.5028 29.7177, -81.5028 29.2177))",Flagler,12,016,12016,0.6538791339217521,0.5196455163252862,0.5413044135324402,0.945432011106352,3568,27196.365687455218,131194,High,26,45.53125,80.0,340000,5.2,suburban,moderate,235,0.2608695652173913,0.4,0.5,0.5394325770525583,Moderate,1.784,False
"POLYGON ((-85.13 29.5991, -84.63 29.5991, -84.63 30.0991, -85.13 30.0991, -85.13 29.5991))",Franklin,12,017,12017,0.560211977512838,0.26636250644904086,0.5156531453370548,0.9965701044403507,3089,2008.9828654378205,1537594,Moderate,13,50.15,90.0,275000,2.4,rural_coastal,high,11,0.16666666666666666,0.9,0.75,0.5373686099010746,Moderate,2.31675,False
"POLYGON ((-84.8699 30.3333, -84.3699 30.3333, -84.3699 30.8333, -84.8699 30.8333, -84.8699 30.3333))",Gadsden,12,018,12018,0.5495003326017749,0.3705840820921023,0.3410975897674316,0.9964580761156817,4010,2064.1609160138737,1942678,Moderate,19,43.875,85.0,185000,1.5,rural,low,44,0.036231884057971016,1.0,0.25,0.5174035305112424,Moderate,1.0025,False
"POLYGON ((-83.079 29.4947, -82.579 29.4947, -82.579 29.9947, -83.079 29.9947, -83.079 29.4947))",Gilchrist,12,019,12019,0.5836189836083674,0.3684124895209245,0.4598984166726658,0.9942815426606598,3310,3136.1833122833214,1055423,Moderate,17,49.88235294117647,100.0,195000,1.9,rural,low,24,0.050724637681159424,1.0,0.25,0.5430840417831281,Moderate,0.8275,False
"POLYGON ((-81.3523 26.6956, -80.8523 26.6956, -80.8523 27.1956, -81.3523 27.1956, -81.3523 26.6956))",Glades,12,020,12020,0.6403251443119297,0.2733043210248782,0.7737272012187216,0.9962841851212064,3082,2149.8085958862066,1433616,High,15,43.05555555555556,80.0,165000,1.1,rural,low,12,0.007246376811594203,1.0,0.25,0.573777632886524,Moderate,0.7705,False
